tas	"	Year"	 Month	 Country	 ISO3	 ISO2
21.2434	1934	1	ETH		
22.0071	1934	2	ETH		
23.5039	1934	3	ETH		
23.9679	1934	4	ETH		
23.7103	1934	5	ETH		
23.3394	1934	6	ETH		
22.3641	1934	7	ETH		
22.2588	1934	8	ETH		
22.7069	1934	9	ETH		
22.3764	1934	10	ETH		
21.6612	1934	11	ETH		
20.7961	1934	12	ETH		
21.8034	1935	1	ETH		
22.5411	1935	2	ETH		
24.0223	1935	3	ETH		
23.7539	1935	4	ETH		
23.4956	1935	5	ETH		
23.1668	1935	6	ETH		
22.3831	1935	7	ETH		
21.9295	1935	8	ETH		
22.5861	1935	9	ETH		
22.365	1935	10	ETH		
21.3679	1935	11	ETH		
21.0603	1935	12	ETH		
21.185	1936	1	ETH		
22.6416	1936	2	ETH		
23.8751	1936	3	ETH		
24.0584	1936	4	ETH		
24.0558	1936	5	ETH		
23.314	1936	6	ETH		
22.2557	1936	7	ETH		
22.0305	1936	8	ETH		
22.5472	1936	9	ETH		
22.4664	1936	10	ETH		
21.7485	1936	11	ETH		
21.111	1936	12	ETH		
21.1469	1937	1	ETH		
22.6431	1937	2	ETH		
23.5861	1937	3	ETH		
24.1233	1937	4	ETH		
23.8626	1937	5	ETH		
23.5321	1937	6	ETH		
22.378	1937	7	ETH		
22.254	1937	8	ETH		
22.8007	1937	9	ETH		
22.5238	1937	10	ETH		
21.5833	1937	11	ETH		
21.2477	1937	12	ETH		
21.4615	1938	1	ETH		
22.6784	1938	2	ETH		
23.4056	1938	3	ETH		
24.4278	1938	4	ETH		
23.782	1938	5	ETH		
23.3742	1938	6	ETH		
22.194	1938	7	ETH		
21.9482	1938	8	ETH		
22.4191	1938	9	ETH		
22.2634	1938	10	ETH		
21.531	1938	11	ETH		
21.1054	1938	12	ETH		
21.4192	1939	1	ETH		
22.5476	1939	2	ETH		
23.7726	1939	3	ETH		
24.1425	1939	4	ETH		
24.0808	1939	5	ETH		
23.5231	1939	6	ETH		
22.6652	1939	7	ETH		
22.4707	1939	8	ETH		
22.8119	1939	9	ETH		
22.453	1939	10	ETH		
21.6734	1939	11	ETH		
21.3906	1939	12	ETH		
21.9924	1940	1	ETH		
23.0641	1940	2	ETH		
23.2513	1940	3	ETH		
24.0272	1940	4	ETH		
24.3421	1940	5	ETH		
24.1975	1940	6	ETH		
22.6942	1940	7	ETH		
22.6006	1940	8	ETH		
23.3512	1940	9	ETH		
22.7501	1940	10	ETH		
21.9392	1940	11	ETH		
21.9434	1940	12	ETH		
21.4055	1941	1	ETH		
22.7813	1941	2	ETH		
23.7416	1941	3	ETH		
24.4141	1941	4	ETH		
23.8097	1941	5	ETH		
23.0715	1941	6	ETH		
22.7183	1941	7	ETH		
22.1667	1941	8	ETH		
22.8299	1941	9	ETH		
22.4542	1941	10	ETH		
21.605	1941	11	ETH		
20.3847	1941	12	ETH		
21.1527	1942	1	ETH		
22.8503	1942	2	ETH		
23.4091	1942	3	ETH		
24.4539	1942	4	ETH		
23.3273	1942	5	ETH		
23.7732	1942	6	ETH		
21.6571	1942	7	ETH		
21.6256	1942	8	ETH		
22.4569	1942	9	ETH		
22.318	1942	10	ETH		
21.6912	1942	11	ETH		
20.9879	1942	12	ETH		
20.8412	1943	1	ETH		
21.2516	1943	2	ETH		
22.5215	1943	3	ETH		
23.3096	1943	4	ETH		
23.3029	1943	5	ETH		
22.4334	1943	6	ETH		
22.0375	1943	7	ETH		
21.6404	1943	8	ETH		
22.0787	1943	9	ETH		
21.7447	1943	10	ETH		
21.7734	1943	11	ETH		
21.3554	1943	12	ETH		
21.3496	1944	1	ETH		
22.4067	1944	2	ETH		
23.4963	1944	3	ETH		
24.2741	1944	4	ETH		
23.9305	1944	5	ETH		
23.6293	1944	6	ETH		
21.9462	1944	7	ETH		
22.0373	1944	8	ETH		
22.3697	1944	9	ETH		
22.3967	1944	10	ETH		
20.8538	1944	11	ETH		
20.8034	1944	12	ETH		
21.48	1945	1	ETH		
21.3409	1945	2	ETH		
22.9652	1945	3	ETH		
24.3089	1945	4	ETH		
23.7283	1945	5	ETH		
23.0139	1945	6	ETH		
22.2081	1945	7	ETH		
21.5284	1945	8	ETH		
22.0267	1945	9	ETH		
21.7574	1945	10	ETH		
21.0951	1945	11	ETH		
20.6148	1945	12	ETH		
21.3393	1946	1	ETH		
22.9955	1946	2	ETH		
23.2926	1946	3	ETH		
23.7201	1946	4	ETH		
24.2752	1946	5	ETH		
22.892	1946	6	ETH		
22.6131	1946	7	ETH		
22.0688	1946	8	ETH		
23.1289	1946	9	ETH		
22.8878	1946	10	ETH		
21.8976	1946	11	ETH		
21.4678	1946	12	ETH		
21.7602	1947	1	ETH		
22.5138	1947	2	ETH		
23.2956	1947	3	ETH		
23.349	1947	4	ETH		
23.8547	1947	5	ETH		
24.5641	1947	6	ETH		
23.0718	1947	7	ETH		
22.5281	1947	8	ETH		
22.5953	1947	9	ETH		
22.4809	1947	10	ETH		
22.3574	1947	11	ETH		
21.492	1947	12	ETH		
22.3398	1948	1	ETH		
22.8079	1948	2	ETH		
23.1943	1948	3	ETH		
23.9084	1948	4	ETH		
24.0555	1948	5	ETH		
22.1834	1948	6	ETH		
22.2185	1948	7	ETH		
21.6975	1948	8	ETH		
22.3319	1948	9	ETH		
21.5795	1948	10	ETH		
20.5127	1948	11	ETH		
20.6525	1948	12	ETH		
20.9606	1949	1	ETH		
21.7432	1949	2	ETH		
23.5284	1949	3	ETH		
24.0957	1949	4	ETH		
23.3394	1949	5	ETH		
22.6773	1949	6	ETH		
21.7956	1949	7	ETH		
21.8106	1949	8	ETH		
21.8666	1949	9	ETH		
22.1971	1949	10	ETH		
21.084	1949	11	ETH		
20.0626	1949	12	ETH		
20.8609	1950	1	ETH		
21.4192	1950	2	ETH		
23.6268	1950	3	ETH		
23.8981	1950	4	ETH		
23.8666	1950	5	ETH		
22.8376	1950	6	ETH		
21.7567	1950	7	ETH		
21.447	1950	8	ETH		
21.8476	1950	9	ETH		
21.2825	1950	10	ETH		
20.6023	1950	11	ETH		
20.4824	1950	12	ETH		
21.8483	1951	1	ETH		
22.9071	1951	2	ETH		
23.8879	1951	3	ETH		
23.1416	1951	4	ETH		
24.4037	1951	5	ETH		
24.1985	1951	6	ETH		
22.6893	1951	7	ETH		
22.1192	1951	8	ETH		
21.4796	1951	9	ETH		
23.2806	1951	10	ETH		
22.7664	1951	11	ETH		
21.6421	1951	12	ETH		
21.6279	1952	1	ETH		
22.5482	1952	2	ETH		
24.9087	1952	3	ETH		
23.9987	1952	4	ETH		
24.9826	1952	5	ETH		
24.0315	1952	6	ETH		
22.532	1952	7	ETH		
22.0417	1952	8	ETH		
23.1627	1952	9	ETH		
22.4233	1952	10	ETH		
22.4791	1952	11	ETH		
22.1602	1952	12	ETH		
22.482	1953	1	ETH		
23.7156	1953	2	ETH		
24.7063	1953	3	ETH		
24.2814	1953	4	ETH		
25.1406	1953	5	ETH		
